,FECHA_ACCIDENTE,AÑO_ACCIDENTE,MES_ACCIDENTE,DIA_ACCIDENTE,HORA_ACCIDENTE,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,SITIO_EXACTO_ACCIDENTE,CANT_HERIDOS_EN_SITIO_ACCIDENTE,CANT_MUERTOS_EN _SITIO_ACCIDENTE,CANTIDAD_ACCIDENTES
0,01/01/2015 12:00:00 AM,2015,1,Jue,02:10:00:PM,Con heridos,Choque,VIA_40_CON_77,1.0,,1
1,01/01/2015 12:00:00 AM,2015,1,Jue,02:15:00:PM,Solo daños,Choque,CALLE_14_CR_13,,,1
2,01/01/2015 12:00:00 AM,2015,1,Jue,02:20:00:PM,Solo daños,Choque,CALLE_74_CR_38C,,,1
3,01/01/2015 12:00:00 AM,2015,1,Jue,03:30:00:PM,Con heridos,Choque,CALLE_45_CR_19,2.0,,1
4,01/01/2015 12:00:00 AM,2015,1,Jue,04:20:00:AM,Solo daños,Choque,CRA_15_CALLE_21,,,1
5,01/01/2015 12:00:00 AM,2015,1,Jue,04:40:00:PM,Con heridos,Choque,CRA_14_CALLE_35,2.0,,1
6,01/01/2015 12:00:00 AM,2015,1,Jue,04:50:00:PM,Con heridos,Atropello,CRA_6_CALLE_90,1.0,,1
7,01/01/2015 12:00:00 AM,2015,1,Jue,06:00:00:AM,Solo daños,Choque,CRA_6_CALLE_92,,,1
8,01/01/2015 12:00:00 AM,2015,1,Jue,07:50:00:PM,Solo daños,Choque,CALLE_99_CR_56,,,1
9,01/01/2015 12:00:00 AM,2015,1,Jue,09:25:00:PM,Solo daños,Choque,CALLE_47_CR_24,,,1
10,01/02/2015 12:00:00 AM,2015,1,Vie,01:00:00:PM,Solo daños,Choque,CALLE_64_CRA_44,,,1
11,01/02/2015 12:00:00 AM,2015,1,Vie,03:10:00:PM,Solo daños,Choque,CALLE_110_CR_51B,,,1
12,01/02/2015 12:00:00 AM,2015,1,Vie,04:00:00:PM,Solo daños,Choque,CALLE_80_CR_42H,,,1
13,01/02/2015 12:00:00 AM,2015,1,Vie,04:05:00:PM,Solo daños,Choque,AV_CIRCUNVALAR_CR_43_Y_CR_46,,,1
14,01/02/2015 12:00:00 AM,2015,1,Vie,04:20:00:AM,Con muertos,Atropello,CALLE_19_CRA_1,,1.0,1
15,01/02/2015 12:00:00 AM,2015,1,Vie,04:40:00:PM,Solo daños,Choque,CR_46_CALLE_79,,,1
16,01/02/2015 12:00:00 AM,2015,1,Vie,05:19:00:PM,Solo daños,Choque,CALLE_72_CR_53,,,1
17,01/02/2015 12:00:00 AM,2015,1,Vie,05:45:00:PM,Solo daños,Choque,CALLE_53_CRA_46,,,1
18,01/02/2015 12:00:00 AM,2015,1,Vie,06:30:00:PM,Solo daños,Choque,CR_53_CALLE_82,,,1
19,01/02/2015 12:00:00 AM,2015,1,Vie,07:40:00:AM,Solo daños,Choque,CR_27_CALLE_38,,,1
20,01/02/2015 12:00:00 AM,2015,1,Vie,08:15:00:AM,Solo daños,Choque,CRA_14_CALLE_38B,,,1
21,01/02/2015 12:00:00 AM,2015,1,Vie,09:00:00:AM,Solo daños,Choque,CALLE_64_CR_47,,,1
22,01/02/2015 12:00:00 AM,2015,1,Vie,09:30:00:PM,Solo daños,Choque,CALLE_87_CRA_9G,,,1
23,01/03/2015 12:00:00 AM,2015,1,Sáb,01:50:00:PM,Solo daños,Choque,CALLE_70_CR_53,,,1
24,01/03/2015 12:00:00 AM,2015,1,Sáb,02:30:00:PM,Solo daños,Choque,CALLE_86_CR_59B,,,1
25,01/03/2015 12:00:00 AM,2015,1,Sáb,03:00:00:PM,Solo daños,Choque,CRA_44_CALLE_59,,,1
26,01/03/2015 12:00:00 AM,2015,1,Sáb,03:50:00:PM,Solo daños,Choque,CALLE_53D_CRA_14,,,1
27,01/03/2015 12:00:00 AM,2015,1,Sáb,05:30:00:PM,Solo daños,Choque,CRA_44_CALLE_48,,,1
28,01/03/2015 12:00:00 AM,2015,1,Sáb,08:00:00:AM,Solo daños,Choque,CALLE_C98_CRA_51B,,,1
29,01/03/2015 12:00:00 AM,2015,1,Sáb,08:00:00:PM,Solo daños,Choque,CALLE_96_CR_4,,,1
30,01/03/2015 12:00:00 AM,2015,1,Sáb,09:00:00:AM,Solo daños,Choque,CR_42H_CALLE_84B,,,1
31,01/03/2015 12:00:00 AM,2015,1,Sáb,10:51:00:PM,Solo daños,Choque,CR_42_CALLE_76,,,1
32,01/03/2015 12:00:00 AM,2015,1,Sáb,11:00:00:PM,Solo daños,Choque,AVENIDA_110_CRA_15,,,1
33,01/03/2015 12:00:00 AM,2015,1,Sáb,12:30:00:PM,Solo daños,Choque,CALLE_76_CRA_60,,,1
34,01/04/2015 12:00:00 AM,2015,1,Dom,01:00:00:AM,Solo daños,Choque,CALLE_82_CR_59,,,1
35,01/04/2015 12:00:00 AM,2015,1,Dom,02:45:00:AM,Con heridos,Choque,CRA_24_CALLE_53D,1.0,,1
36,01/04/2015 12:00:00 AM,2015,1,Dom,03:10:00:PM,Solo daños,Choque,CR_30_CALLE_47,,,1
37,01/04/2015 12:00:00 AM,2015,1,Dom,03:24:00:AM,Solo daños,Choque,CALLE_110_CR_9G,,,1
38,01/04/2015 12:00:00 AM,2015,1,Dom,03:30:00:PM,Solo daños,Choque,CR_22_48_46,,,1
39,01/04/2015 12:00:00 AM,2015,1,Dom,07:00:00:PM,Solo daños,Choque,CRA_23_CALLE_57,,,1
40,01/04/2015 12:00:00 AM,2015,1,Dom,11:40:00:AM,Solo daños,Choque,CALLE_94_CR_3B,,,1
41,01/05/2015 12:00:00 AM,2015,1,Lun,02:20:00:PM,Solo daños,Choque,CALLE_53_CRA_50_21,,,1
42,01/05/2015 12:00:00 AM,2015,1,Lun,02:30:00:PM,Solo daños,Choque,CALLE_99_CRA_53,,,1
43,01/05/2015 12:00:00 AM,2015,1,Lun,04:00:00:PM,Solo daños,Choque,CALLE_45_CRA_36,,,1
44,01/05/2015 12:00:00 AM,2015,1,Lun,04:50:00:PM,Con heridos,Choque,CALLE_C30_CRA_6,1.0,,1
45,01/05/2015 12:00:00 AM,2015,1,Lun,06:30:00:PM,Solo daños,Choque,CR_39_CALLE_73,,,1
46,01/05/2015 12:00:00 AM,2015,1,Lun,07:00:00:AM,Solo daños,Choque,CALLE_40_25_07,,,1
47,01/05/2015 12:00:00 AM,2015,1,Lun,07:40:00:AM,Solo daños,Choque,CALLE_79_CRA_53,,,1
48,01/05/2015 12:00:00 AM,2015,1,Lun,08:00:00:AM,Solo daños,Choque,CALLE_41_CR_7C,,,1
49,01/05/2015 12:00:00 AM,2015,1,Lun,08:15:00:AM,Solo daños,Choque,CR_38_34_13,,,1
50,01/05/2015 12:00:00 AM,2015,1,Lun,10:20:00:AM,Solo daños,Choque,CRA_52_CALLE_86,,,1
51,01/05/2015 12:00:00 AM,2015,1,Lun,10:40:00:AM,Solo daños,Choque,CR_43_CALLE_48_Y_CALLE_50,,,1
52,01/05/2015 12:00:00 AM,2015,1,Lun,12:00:00:PM,Solo daños,Choque,CARRERA_27_CALLE_70,,,1
53,01/05/2015 12:00:00 AM,2015,1,Lun,12:30:00:PM,Con heridos,Choque,CALLE_75_CR_72,1.0,,1
54,01/05/2015 12:00:00 AM,2015,1,Lun,12:30:00:PM,Solo daños,Choque,CALLE_37_CR_25,,,1
55,01/06/2015 12:00:00 AM,2015,1,Mar,01:35:00:PM,Solo daños,Choque,CALLE_80_CRA_49C,,,1
56,01/06/2015 12:00:00 AM,2015,1,Mar,03:15:00:PM,Solo daños,Choque,CALLE_95_CR_49D,,,1
57,01/06/2015 12:00:00 AM,2015,1,Mar,03:40:00:PM,Solo daños,Choque,CRA_49C_CALLE_91,,,1
58,01/06/2015 12:00:00 AM,2015,1,Mar,03:50:00:PM,Solo daños,Choque,VIA_40_CALLE_79,,,1
59,01/06/2015 12:00:00 AM,2015,1,Mar,04:45:00:PM,Solo daños,Choque,CRA_43_CALLE_80,,,1
60,01/06/2015 12:00:00 AM,2015,1,Mar,06:10:00:PM,Solo daños,Choque,CALLE_74_CR_56,,,1
61,01/06/2015 12:00:00 AM,2015,1,Mar,06:15:00:PM,Con heridos,Choque,CALLE_114_CR_11,1.0,,1
62,01/06/2015 12:00:00 AM,2015,1,Mar,07:55:00:AM,Solo daños,Choque,CALLE_76_CR_39,,,1
63,01/06/2015 12:00:00 AM,2015,1,Mar,08:30:00:AM,Solo daños,Choque,CR_40_CALLE_33,,,1
64,01/06/2015 12:00:00 AM,2015,1,Mar,09:20:00:AM,Solo daños,Choque,CALLE_70_CR_60,,,1
65,01/06/2015 12:00:00 AM,2015,1,Mar,10:40:00:AM,Solo daños,Choque,CALLE_110_12F_29,,,1
66,01/06/2015 12:00:00 AM,2015,1,Mar,12:15:00:PM,Solo daños,Otro,VIA_40_CALLE_85,,,1
67,01/07/2015 12:00:00 AM,2015,1,Mié,01:25:00:PM,Solo daños,Choque,CALLE_19_CRA_2C,,,1
68,01/07/2015 12:00:00 AM,2015,1,Mié,01:50:00:PM,Con heridos,Choque,CALLE_68B_CRA_26B,1.0,,1
69,01/07/2015 12:00:00 AM,2015,1,Mié,03:00:00:PM,Solo daños,Choque,CALLE_90_CRA_2,,,1
70,01/07/2015 12:00:00 AM,2015,1,Mié,05:15:00:PM,Solo daños,Choque,CALLE_74_58_26,,,1
71,01/07/2015 12:00:00 AM,2015,1,Mié,06:10:00:AM,Con heridos,Choque,CRA_50_CALLE_45,2.0,,1
72,01/07/2015 12:00:00 AM,2015,1,Mié,06:20:00:PM,Solo daños,Choque,CRA_38_CALLE_70B,,,1
73,01/07/2015 12:00:00 AM,2015,1,Mié,06:50:00:PM,Solo daños,Choque,CRA_60_CALLE_79,,,1
74,01/07/2015 12:00:00 AM,2015,1,Mié,06:59:00:AM,Solo daños,Choque,CALLE_84B_CR_39A,,,1
75,01/07/2015 12:00:00 AM,2015,1,Mié,07:30:00:AM,Solo daños,Choque,AVENIDA_110_CRA_15,,,1
76,01/07/2015 12:00:00 AM,2015,1,Mié,08:10:00:AM,Solo daños,Choque,CR38_CALLE_43,,,1
77,01/07/2015 12:00:00 AM,2015,1,Mié,09:10:00:AM,Solo daños,Choque,CALLE_17_CRA_8,,,1
78,01/07/2015 12:00:00 AM,2015,1,Mié,09:50:00:AM,Solo daños,Choque,cCALLE_70C_CRA_25B,,,1
79,01/07/2015 12:00:00 AM,2015,1,Mié,10:30:00:AM,Solo daños,Choque,CALLE_47_CR_20,,,1
80,01/07/2015 12:00:00 AM,2015,1,Mié,11:25:00:AM,Con heridos,Volcamiento,CR_50_CALLE_43,2.0,,1
81,01/07/2015 12:00:00 AM,2015,1,Mié,11:45:00:AM,Con heridos,Choque,CR_14_CALLE_63,2.0,,1
82,01/07/2015 12:00:00 AM,2015,1,Mié,12:10:00:PM,Solo daños,Choque,CALLE_30_CRA_10,,,1
83,01/08/2015 12:00:00 AM,2015,1,Jue,01:30:00:PM,Solo daños,Choque,CALLE_47_CRA_32,,,1
84,01/08/2015 12:00:00 AM,2015,1,Jue,02:00:00:PM,Solo daños,Choque,CALLE_19_CRA_8,,,1
85,01/08/2015 12:00:00 AM,2015,1,Jue,03:20:00:PM,Solo daños,Choque,CALLE_27_CRA_63B,,,1
86,01/08/2015 12:00:00 AM,2015,1,Jue,03:40:00:PM,Solo daños,Choque,CALLE_98_CR_52C,,,1
87,01/08/2015 12:00:00 AM,2015,1,Jue,05:00:00:PM,Con heridos,Choque,CR_44_CALLE_57,1.0,,1
88,01/08/2015 12:00:00 AM,2015,1,Jue,06:20:00:AM,Solo daños,Choque,CRA_22_CALLE_47B,,,1
89,01/08/2015 12:00:00 AM,2015,1,Jue,06:45:00:AM,Solo daños,Choque,CALLE_84_CRA_57,,,1
90,01/08/2015 12:00:00 AM,2015,1,Jue,06:55:00:AM,Solo daños,Choque,CALLE_70C_CRA_26D,,,1
91,01/08/2015 12:00:00 AM,2015,1,Jue,07:00:00:PM,Solo daños,Choque,AVENIDA_110_VIA_40,,,1
92,01/08/2015 12:00:00 AM,2015,1,Jue,07:20:00:PM,Solo daños,Choque,CALLE_72_CRA_41B,,,1
93,01/08/2015 12:00:00 AM,2015,1,Jue,09:10:00:PM,Con heridos,Choque,CRA_21_CALLE_41,1.0,,1
